This list contains all games supported by FB Alpha.

1708 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| batsugna	|  	| Batsugun (set 2)					| batsugun	| 1993	| Dual Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| batugnsp	|  	| Batsugun Special Ver.					| batsugun	| 1993	| Dual Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| bkraidj	|  	| Battle Bakraid (Japan) (Wed Apr 7 1999)		| bkraidu	| 1999	| Eighting	| Toaplan GP9001| 					|
| bkraiduj	|  	| Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 | bkraidu	| 1999	| Eighting	| Toaplan GP9001| 					|
| bkraidu	|  	| Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8| 		| 1999	| Eighting	| Toaplan GP9001| 					|
| batcira	|  	| Battle Circuit (970319 Asia)				| batcir	| 1997	| Capcom	| CPS2		| 					|
| batcird	|  	| Battle Circuit (970319 Euro Phoenix Edition)		| batcir	| 1997	| bootleg	| CPS2		| 					|
| batcir	|  	| Battle Circuit (970319 Euro)				| 		| 1997	| Capcom	| CPS2		| 					|
| batcirj	|  	| Battle Circuit (970319 Japan)				| batcir	| 1997	| Capcom	| CPS2		| 					|
| flipshot	|  	| Battle Flip Shot					| 		| 1998	| Visco		| Neo Geo	| 					|
| bgareghk	|  	| Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregga	|  	| Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb | 		| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregnv	|  	| Battle Garegga - New Version (Austria / Hong Kong) (Sa| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregcn	|  	| Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bgaregt2	|  	| Battle Garegga - Type 2 (Europe / USA / Japan / Asia) | bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| bsharkj	|  	| Battle Shark (Japan)					| bshark	| 1989	| Taito Corporat| Taito-Z	| 					|
| bshark	|  	| Battle Shark (US)					| 		| 1989	| Taito America | Taito-Z	| 					|
| bayrout1	|  	| Bay Route (set 1, US, unprotected)			| bayroute	| 1989	| Sunsoft / Sega| System 16B	| No Sound, Missing Z80 Program ROM	|
| bayroutj	|  	| Bay Route (set 2, Japan, FD1094 317-0115)		| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					|
| bayroute	|  	| Bay Route (set 3, World, FD1094 317-0116)		| 		| 1989	| Sunsoft / Sega| System 16B	| 					|
| beastf	|  	| Beastie Feastie					| suprglob	| 1984	| Epos Corporati| Pac-man	| 					|
| ddp2		| D NW	| Bee Storm - DoDonPachi II (V100)			| 		| 2001	| IGS		| PGM		| 					|
| bestbest	|  	| Best Of Best						| 		| 1994	| SunA		| Miscellaneous	| 					|
| bestri	|  	| Bestri (Korea)					| 		| 199?	| F2 System	| hardware	| 					|
| bigbucks	|  	| Big Bucks						| 		| 1986	| Dynasoft Inc.	| Pac-man	| 					|
| biomtoy	|  	| Biomechanical Toy (unprotected)			| 		| 1995	| Zeus		| Gaelco '91 - '| 					|
| bionicc	|  	| Bionic Commando (Euro)				| 		| 1987	| Capcom	| Misc		| 					|
| bionicc1	|  	| Bionic Commando (US set 1)				| bionicc	| 1987	| Capcom	| Misc		| 					|
| bionicc2	|  	| Bionic Commando (US set 2)				| bionicc	| 1987	| Capcom	| Misc		| 					|
| blkdrgon	|  	| Black Dragon						| blktiger	| 1987	| Capcom	| Miscellaneous	| 					|
| blkdrgnb	|  	| Black Dragon (bootleg)				| blktiger	| 1987	| bootleg	| Miscellaneous	| 					|
| blktiger	|  	| Black Tiger						| 		| 1987	| Capcom	| Miscellaneous	| 					|
| bktigrb1	|  	| Black Tiger (bootleg set 1)				| blktiger	| 1987	| bootleg	| Miscellaneous	| 					|
| blazeon	|  	| Blaze On (Japan)					| 		| 1991	| Atlus		| Kaneko 16-bit	| 					|
| blazstar	|  	| Blazing Star						| 		| 1998	| Yumekobo	| Neo Geo	| 					|
| arkblock	|  	| Block (Game Corporation bootleg, set 1)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkbloc2	|  	| Block (Game Corporation bootleg, set 2)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| blockgal	|  	| Block Gal (MC-8123B, 317-0029)			| 		| 1987	| Sega / Vic Tok| System 1	| 					|
| blckoutj	|  	| Block Out (Japan)					| blockout	| 1989	| Technos + Cali| Miscellaneous	| 					|
| blockout	|  	| Block Out (set 1)					| 		| 1989	| Technos + Cali| Miscellaneous	| 					|
| blckout2	|  	| Block Out (set 2)					| blockout	| 1989	| Technos + Cali| Miscellaneous	| 					|
| bloodwar	|  	| Blood Warrior						| 		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| bloxeed	| D	| Bloxeed (Japan, FD1094 317-0139)			| 		| 1990	| Sega		| System 18	| Incomplete Sound			|
| blueprnj	|  	| Blue Print (Jaleco)					| blueprnt	| 1982	| [Zilec Electro| hardware	| 					|
| blueprnt	|  	| Blue Print (Midway)					| 		| 1982	| [Zilec Electro| hardware	| 					|
| bjourney	|  	| Blue's Journey / Raguy				| 		| 1990	| Alpha Denshi C| Neo Geo	| 					|
| bwcasino	|  	| Boardwalk Casino					| 		| 1983	| EPOS Corporati| Pac-man	| 					|
| bodyslam	|  	| Body Slam (8751 317-0015)				| 		| 1986	| Sega		| System 16A	| 					|
| bombjack	|  	| Bomb Jack (set 1)					| 		| 1984	| Tehkan	| Bomb Jack	| 					|
| bombjac2	|  	| Bomb Jack (set 2)					| bombjack	| 1984	| Tehkan	| Bomb Jack	| 					|
| bombrman	| D NW	| Bomber Man (Japan)					| dynablst	| 1992	| Irem (licensed| Miscellaneous	| Preliminary driver			|
| brain		|  	| Brain							| 		| 1986	| Coreland / Seg| System 1	| 					|
| breakers	|  	| Breakers						| 		| 1996	| Visco		| Neo Geo	| 					|
| breakrev	|  	| Breakers Revenge					| 		| 1998	| Visco		| Neo Geo	| 					|
| brix		|  	| Brix							| zzyzzyxx	| 1982	| Cinematronics | Jack the Giant| 					|
| bullet	|  	| Bullet (FD1094 317-0041)				| 		| 1987	| Sega		| System 16B	| 					|
| bullfgt	|  	| Bullfight (315-5065)					| 		| 1984	| Coreland / Seg| System 1	| 					|
| burglarx	|  	| Burglar X						| 		| 1997	| Unico		| Unico		| 					|
| burningf	|  	| Burning Fight (set 1)					| 		| 1991	| SNK		| Neo Geo	| 					|
| burningfh	|  	| Burning Fight (set 2)					| burningf	| 1991	| SNK		| Neo Geo	| 					|
| buzzard	|  	| Buzzard						| gyrodine	| 1984	| Crux		| Kyugo		| 					|
| dino		|  	| Cadillacs & Dinosaurs (930201 etc)			| 		| 1993	| Capcom	| CPS1 / QSound	| 					|
| dinou		|  	| Cadillacs & Dinosaurs (930201 USA)			| dino		| 1993	| Capcom	| CPS1 / QSound	| 					|
| dinoh		|  	| Cadillacs and Dinosaurs (930223 Asia TW bootleg)	| dino		| 1993	| bootleg	| CPS1 / QSound	| 					|
| dinopic	| D NW	| Cadillacs and Dinosaurs (bootleg with PIC16c57, set 1)| dino		| 1993	| Capcom	| CPS1		| Missing sprites, no sound		|
| dinopic2	| D NW	| Cadillacs and Dinosaurs (bootleg with PIC16c57, set 2)| dino		| 1993	| Capcom	| CPS1		| Missing sprites, no sound		|
| dinoeh	|  	| Cadillacs and Dinosaurs (hack)			| dino		| 1993	| Capcom	| CPS1 / QSound	| 					|
| dinob		| X NW	| Cadillacs and Dinosaurs (identical to dinopic)	| dino		| 1993	| Capcom	| CPS1 / QSound	| Missing sprites, no sound		|
| dinoha	|  	| Cadillacs and Dinosaurs Turbo (930223 Asia TW bootleg)| dino		| 1993	| bootleg	| CPS1 / QSound	| 					|
| dinohb	| D NW	| Cadillacs and Dinosaurs Turbo (bootleg with PIC16c57)	| dino		| 1993	| bootleg	| CPS1		| 					|
| kl2d		| X	| Cadillacs and Dinosaurs Turbo (identical to dinoha)	| dino		| 1993	| bootleg	| CPS1 / QSound	| 					|
| dinoj		|  	| Cadillacs Kyouryuu-Shinseiki (Cadillacs 930201 Japan)	| dino		| 1993	| Capcom	| CPS1 / QSound	| 					|
| cameltrj	|  	| Cameltry (Japan, YM2610)				| cameltry	| 1989	| Taito Corporat| Taito-F2	| 					|
| camltrya	|  	| Cameltry (US, YM2203 + M6295)				| cameltry	| 1989	| Taito America | Taito-F2	| 					|
| cameltry	|  	| Cameltry (US, YM2610)					| 		| 1989	| Taito America | Taito-F2	| 					|
| camltrua	|  	| Cameltry (World, YM2203 + M6295)			| cameltry	| 1989	| Taito America | Taito-F2	| 					|
| cannonbp	|  	| Cannon Ball (Pacman Hardware)				| 		| 198?	| Novomatic	| Pac-man	| wrong colors				|
| cscluba	|  	| Capcom Sports Club (970722 Asia)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclub1	|  	| Capcom Sports Club (970722 Euro)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclubh	|  	| Capcom Sports Club (970722 Hispanic)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclubj	|  	| Capcom Sports Club (970722 Japan)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclubjr	|  	| Capcom Sports Club (970722 Japan, Rent version)	| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclub	|  	| Capcom Sports Club (971017 Euro)			| 		| 1997	| Capcom	| CPS2		| 					|
| cworld2j	|  	| Capcom World 2 (920611 Japan)				| 		| 1992	| Capcom	| CPS1		| 					|
| captcomu	|  	| Captain Commando (910928 USA)				| captcomm	| 1991	| Capcom	| CPS1		| 					|
| captcomm	|  	| Captain Commando (911014 other country)		| 		| 1991	| Capcom	| CPS1		| 					|
| captcomj	|  	| Captain Commando (911202 Japan)			| captcomm	| 1991	| Capcom	| CPS1		| 					|
